district_id,date.x,year,month,era5_value,variable,date.y,hist_value,bias
TUR.10.4_1,1981-01-01,1981,1,3.9239978790283203,tas,1981-01-16,-0.6367329955101013,4.560730874538422
TUR.10.4_1,1981-02-01,1981,2,3.8706166744232178,tas,1981-02-15,4.2359395027160645,-0.3653228282928467
TUR.10.4_1,1981-03-01,1981,3,5.634391784667969,tas,1981-03-16,6.616883277893066,-0.9824914932250977
TUR.10.4_1,1981-04-01,1981,4,7.533979892730713,tas,1981-04-16,8.0171480178833,-0.4831681251525879
TUR.10.4_1,1981-05-01,1981,5,11.394916534423828,tas,1981-05-16,12.998865127563477,-1.6039485931396484
TUR.10.4_1,1981-06-01,1981,6,16.8699951171875,tas,1981-06-16,14.52454948425293,2.3454456329345703
TUR.10.4_1,1981-07-01,1981,7,19.799161911010742,tas,1981-07-16,17.02842140197754,2.770740509033203
TUR.10.4_1,1981-08-01,1981,8,18.88340187072754,tas,1981-08-16,16.137351989746094,2.7460498809814453
TUR.10.4_1,1981-09-01,1981,9,17.481460571289063,tas,1981-09-16,15.421486854553223,2.05997371673584
TUR.10.4_1,1981-10-01,1981,10,15.236469268798828,tas,1981-10-16,12.06241512298584,3.1740541458129883
TUR.10.4_1,1981-11-01,1981,11,6.513983726501465,tas,1981-11-16,5.2993597984313965,1.2146239280700684
TUR.10.4_1,1981-12-01,1981,12,6.96326208114624,tas,1981-12-16,1.913232684135437,5.050029397010803
TUR.10.4_1,1982-01-01,1982,1,1.7608579397201538,tas,1982-01-16,2.5208396911621094,-0.7599817514419556
TUR.10.4_1,1982-02-01,1982,2,0.7024857997894287,tas,1982-02-15,2.5768465995788574,-1.8743607997894287
TUR.10.4_1,1982-03-01,1982,3,2.627567768096924,tas,1982-03-16,4.0601019859313965,-1.4325342178344727
TUR.10.4_1,1982-04-01,1982,4,9.985770225524902,tas,1982-04-16,5.9541707038879395,4.031599521636963
TUR.10.4_1,1982-05-01,1982,5,13.560685157775879,tas,1982-05-16,12.503772735595703,1.0569124221801758
TUR.10.4_1,1982-06-01,1982,6,16.301616668701172,tas,1982-06-16,14.881501197814941,1.4201154708862305
TUR.10.4_1,1982-07-01,1982,7,17.49379539489746,tas,1982-07-16,16.829666137695313,0.6641292572021484
TUR.10.4_1,1982-08-01,1982,8,18.484045028686523,tas,1982-08-16,15.706114768981934,2.77793025970459
TUR.10.4_1,1982-09-01,1982,9,16.920650482177734,tas,1982-09-16,16.350553512573242,0.5700969696044922
TUR.10.4_1,1982-10-01,1982,10,12.719292640686035,tas,1982-10-16,9.084261894226074,3.635030746459961
TUR.10.4_1,1982-11-01,1982,11,5.486814975738525,tas,1982-11-16,7.150097846984863,-1.663282871246338
TUR.10.4_1,1982-12-01,1982,12,2.869616985321045,tas,1982-12-16,-0.5460205078125,3.415637493133545
TUR.10.4_1,1983-01-01,1983,1,-0.538025975227356,tas,1983-01-16,0.8241861462593079,-1.3622121214866638
TUR.10.4_1,1983-02-01,1983,2,1.9293192625045776,tas,1983-02-15,0.3051649332046509,1.6241543292999268
