province_name,district_name,prov_norm,dist_norm
NA,NA,adana,cukurova
NA,NA,adana,saricam
NA,NA,adiyaman,afyonkarahisar
NA,NA,adiyaman,basmakci
NA,NA,adiyaman,bayat
NA,NA,adiyaman,bolvadin
NA,NA,adiyaman,cay
NA,NA,adiyaman,cobanlar
NA,NA,adiyaman,dazkiri
NA,NA,adiyaman,dinar
NA,NA,adiyaman,emirdag
NA,NA,adiyaman,evciler
NA,NA,adiyaman,hocalar
NA,NA,adiyaman,ihsaniye
NA,NA,adiyaman,iscehisar
NA,NA,adiyaman,kiziloren
NA,NA,adiyaman,sandikli
NA,NA,adiyaman,sinanpasa
NA,NA,adiyaman,sultandagi
NA,NA,adiyaman,suhut
NA,NA,agri,dogubayazit
NA,NA,ankara,kahramankazan
NA,NA,ankara,pursaklar
NA,NA,ankara,sereflikochisar
NA,NA,antalya,aksu
NA,NA,antalya,demre
NA,NA,antalya,dosemealti
NA,NA,antalya,kepez
NA,NA,antalya,konyaalti
NA,NA,antalya,muratpasa
NA,NA,artvin,kemalpasa
NA,NA,aydin,efeler
NA,NA,balikesir,altieylul
NA,NA,balikesir,karesi
NA,NA,bursa,mustafakemalpasa
NA,NA,denizli,merkezefendi
NA,NA,denizli,pamukkale
NA,NA,diyarbakir,baglar
NA,NA,diyarbakir,kayapinar
NA,NA,diyarbakir,sur
NA,NA,diyarbakir,yenisehir
NA,NA,edirne,suloglu
NA,NA,erzurum,aziziye
NA,NA,erzurum,palandoken
NA,NA,erzurum,yakutiye
NA,NA,eskisehir,odunpazari
NA,NA,eskisehir,tepebasi
NA,NA,giresun,sebinkarahisar
NA,NA,hakkari,derecik
NA,NA,hatay,antakya
NA,NA,hatay,arsuz
NA,NA,hatay,defne
NA,NA,hatay,payas
NA,NA,mersin,akdeniz
NA,NA,mersin,mezitli
NA,NA,mersin,toroslar
NA,NA,mersin,yenisehir
NA,NA,istanbul,eyupsultan
NA,NA,izmir,bayrakli
NA,NA,izmir,karabaglar
NA,NA,kocaeli,basiskele
NA,NA,kocaeli,cayirova
NA,NA,kocaeli,darica
NA,NA,kocaeli,dilovasi
NA,NA,kocaeli,izmit
NA,NA,kocaeli,kartepe
NA,NA,malatya,arapgir
NA,NA,malatya,puturge
NA,NA,manisa,sehzadeler
NA,NA,manisa,yunusemre
NA,NA,manisa,kahramanmaras
NA,NA,manisa,afsin
NA,NA,manisa,andirin
NA,NA,manisa,caglayancerit
NA,NA,manisa,dulkadiroglu
NA,NA,manisa,ekinozu
NA,NA,manisa,elbistan
NA,NA,manisa,goksun
NA,NA,manisa,nurhak
NA,NA,manisa,onikisubat
NA,NA,manisa,pazarcik
NA,NA,manisa,turkoglu
NA,NA,mardin,artuklu
NA,NA,mugla,mentese
NA,NA,mugla,seydikemer
NA,NA,ordu,altinordu
NA,NA,ordu,catalpinar
NA,NA,sakarya,adapazari
NA,NA,sakarya,arifiye
NA,NA,sakarya,erenler
NA,NA,sakarya,serdivan
NA,NA,samsun,atakum
NA,NA,samsun,canik
NA,NA,samsun,ilkadim
NA,NA,samsun,19 mayis
NA,NA,siirt,tillo
NA,NA,tekirdag,ergene
NA,NA,tekirdag,kapakli
NA,NA,tekirdag,suleymanpasa
NA,NA,trabzon,ortahisar
NA,NA,sanliurfa,eyyubiye
NA,NA,sanliurfa,haliliye
NA,NA,sanliurfa,karakopru
NA,NA,van,ipekyolu
NA,NA,van,tusba
NA,NA,yozgat,zonguldak
NA,NA,yozgat,alapli
NA,NA,yozgat,caycuma
NA,NA,yozgat,devrek
NA,NA,yozgat,eregli
NA,NA,yozgat,gokcebey
NA,NA,yozgat,kilimli
NA,NA,yozgat,kozlu
NA,NA,aksaray,sultanhani
NA,NA,karaman,kirikkale
NA,NA,karaman,bahsili
NA,NA,karaman,baliseyh
NA,NA,karaman,celebi
NA,NA,karaman,delice
NA,NA,karaman,karakecili
NA,NA,karaman,keskin
NA,NA,karaman,sulakyurt
NA,NA,karaman,yahsihan
