country,gbd_match,w_c_norm,rate_pp,contribution_pct
Brazil,Brazil,0.0019185330836344035,0.0803641038803692,42.616964942230446
Mexico,Mexico,0.0022922392436251137,0.0140237653679122,8.885373712852203
Malaysia,Malaysia,0.0019110568579393564,0.007461760610635899,3.941540909382762
Thailand,Thailand,8.517826568556983e-4,0.016640372092104602,3.9178061589866178
Argentina,Argentina,9.990933669528092e-4,0.013438576525829301,3.711166700071125
Colombia,Colombia,0.0015347473141458217,0.0084075279256971,3.566615714699548
Nicaragua,Nicaragua,2.5335067553852046e-5,0.4907233202824612,3.4364488340852226
Peru,Peru,2.979297582809465e-4,0.0412499069483323,3.3969407796914104
India,India,0.004876057473166565,0.001876001001118,2.5284420242937204
Jordan,Jordan,0.010393845961824598,8.211306162931e-4,2.35906354701511
Bangladesh,Bangladesh,4.7502169496808704e-4,0.016806337035617,2.206671225172487
Costa Rica,Costa Rica,1.5526927293377376e-4,0.0348804646292012,1.4969899991251872
Indonesia,Indonesia,0.0031430015719120094,0.0016203982772224,1.4077239169048152
Kuwait,Kuwait,0.00905082766147111,5.359086816417e-4,1.340695668697792
Yemen,Yemen,8.288716426289417e-4,0.0056676838280641,1.2985061627819796
Lebanon,Lebanon,0.0067967116034621765,6.688393696929e-4,1.2565268973859673
Bolivia,Bolivia (Plurinational State of),6.457133888145547e-5,0.0691782390433418,1.2346970556510724
Seychelles,Seychelles,1.8285524714850012e-5,0.1899670052919565,0.9601447727405867
Guatemala,Guatemala,8.431005883066117e-5,0.0409283810438969,0.953795077422265
Panama,Panama,1.5202895675163597e-4,0.0222932429016531,0.9368081957926216
Sri Lanka,Sri Lanka,1.576314881657902e-4,0.021077189117915,0.918346946291173
Philippines,Philippines,0.002552824976287873,9.798585825446e-4,0.6914098454027304
Ecuador,Ecuador,2.7719544500096944e-4,0.0084514541443802,0.6475430509486537
Pakistan,Pakistan,0.0033109723895750026,6.92165528661e-4,0.6334562771517765
Singapore,Singapore,6.642338982907048e-4,0.0033655099470306,0.6179068819301475
Palestine,Palestine,0.0019001238827293955,0.0011510369277028,0.6045361722084235
Maldives,Maldives,6.946891601170951e-5,0.030907610241461398,0.5934813384037854
Syria,Syrian Arab Republic,0.010709585091488286,1.373018127862e-4,0.4064433621854575
Paraguay,Paraguay,3.1079826586687916e-5,0.0431680989033529,0.3708451710176332
Venezuela,Venezuela (Bolivarian Republic of),3.9781683326199895e-4,0.0033592374770084,0.36938136429886614
Nepal,Nepal,1.3991487392566666e-4,0.0078217858171647,0.30249689646360006
Saint Kitts and Nevis,Saint Kitts and Nevis,1.8541534428476929e-4,0.005889343462493601,0.3018308821001558
Honduras,Honduras,6.679132649479033e-5,0.0156749510198479,0.2893859084325645
Vietnam,Viet Nam,1.7763611192383547e-4,0.005271036980909599,0.25880844312225165
Nigeria,Nigeria,8.105984855331076e-4,9.957103301364001e-4,0.22309504214515288
Jamaica,Jamaica,4.1963331320585785e-5,0.0159482437549029,0.18498390412386145
Saudi Arabia,Saudi Arabia,0.011709018567964032,5.103625617670001e-5,0.16517732237105578
Mauritius,Mauritius,2.4265268508985948e-4,0.0016347679546515003,0.10964588456044777
Guyana,Guyana,1.7252828527031293e-6,0.1986467822526801,0.09473118256412483
Belize,Belize,7.705026646839066e-6,0.0294700758963863,0.06276340802717895
Mauritania,Mauritania,1.2286611111239596e-4,0.0015017056021487999,0.05099974816869429
Burkina Faso,Burkina Faso,7.212177029059712e-5,0.0022841081859672,0.045533828430682106
Oman,Oman,0.0023219648159295728,6.54144764923e-5,0.04198369158958266
Sudan,Sudan,6.612533021078987e-4,1.963453231483e-4,0.03588719653322378
Djibouti,Djibouti,1.294209491907663e-4,8.619403306927e-4,0.030834215331793372
Cameroon,Cameroon,2.0467172709235905e-4,5.35156294491e-4,0.030275380531288507
Australia,Australia,0.002771138187154652,3.91523392336e-5,0.02998934747799841
Dominican Republic,Dominican Republic,9.858229117488634e-5,9.624343062872001e-4,0.02622533961078505
Ghana,Ghana,1.4120729011281706e-4,6.64245670402e-4,0.02592608670986445
Barbados,Barbados,8.502738073357717e-6,0.0110055841809192,0.025865627515727085
Angola,Angola,1.2324950730188556e-4,7.002046608558002e-4,0.023854005077118327
Gambia,Gambia,6.040345127313321e-5,0.0013712364904983,0.022894187418998572
El Salvador,El Salvador,3.8191207520768914e-5,0.0019437469883598999,0.02051890788088707
Dominica,Dominica,2.1728669848846796e-4,3.28355488512e-4,0.019720982122904993
Sierra Leone,Sierra Leone,8.78100950121306e-5,7.629425009925e-4,0.018517714072487933
Afghanistan,Afghanistan,0.0015207842722769914,4.10796145863e-5,0.01726812131407667
Senegal,Senegal,3.3147074105177723e-4,1.7519389194780002e-4,0.01605148724780842
Taiwan,Taiwan,0.0010581301963246972,5.47874299509e-5,0.01602400806404014
Suriname,Suriname,1.2751015205282627e-5,0.0042463767604026,0.014966298615662416
Democratic Republic of the Congo,Democratic Republic of the Congo,2.2363128704356978e-4,2.319718405713e-4,0.01433900281114918
Egypt,Egypt,0.004434044953351629,9.5989558057e-6,0.011764546812277612
Kenya,Kenya,2.3262872987755924e-4,1.767820465571e-4,0.011367177066153452
Mali,Mali,1.2290321396944334e-4,3.33306175071e-4,0.011322901205801133
Myanmar,Myanmar,5.0132143680517097e-5,7.706862901508001e-4,0.010679355094078306
Cambodia,Cambodia,9.86317616509495e-6,0.003511681967168,0.009573772115956605
Republic of the Congo,Congo,4.8474882732400824e-5,7.094847063956e-4,0.009506287041520775
Gabon,Gabon,1.1034389685890551e-4,2.952341295379e-4,0.009004632577404468
Somalia,Somalia,4.684112026041457e-4,6.72343998246e-5,0.008705023019005161
Ethiopia,Ethiopia,7.293494124088551e-4,4.1682135589e-5,0.008403045548527617
Cuba,Cuba,8.013598741283102e-5,2.742764965985e-4,0.006075294067081547
Bahamas,Bahamas,7.327814266857377e-6,0.0028633293137485,0.005799584369412072
United States,United States of America,0.020392027056095944,9.967361859999999e-7,0.005618129456984677
Uganda,Uganda,1.6119336244233863e-4,1.260912367438e-4,0.005618018659411083
Togo,Togo,2.788898088061331e-5,6.622015074678e-4,0.005104743535927159
Haiti,Haiti,6.052094365378325e-5,2.83872529937e-4,0.004748759523781512
Benin,Benin,3.576715419367348e-5,4.505325707236999e-4,0.00445411779634063
Grenada,Grenada,1.738268852669712e-5,9.028186169461e-4,0.004337790492873319
Trinidad and Tobago,Trinidad and Tobago,2.7827142785534345e-5,5.41413534282e-4,0.004164365527883311
Chad,Chad,1.1382538161185125e-4,1.1697071399680001e-4,0.003680165707031546
Vanuatu,Vanuatu,6.387875221657106e-6,0.0017915140667601,0.003163208106716488
Comoros,Comoros,3.088194468243523e-5,3.4475446582060004e-4,0.002942833285082855
Guinea,Guinea,1.0349223592415618e-4,9.63475514138e-5,0.0027561291857618577
China,China,0.004932323955878915,1.9572722561e-6,0.002668418554194114
Niger,Niger,7.193007219585233e-5,1.1087633986500001e-4,0.0022044512313818617
Tanzania,United Republic of Tanzania,1.333043815617253e-4,4.83741622069e-5,0.0017824157011866826
Eritrea,Eritrea,2.353063193944784e-4,2.58488776526e-5,0.0016812271700391178
Rwanda,Rwanda,3.136428182405115e-5,1.7334852279989998e-4,0.0015028187708080467
Saint Lucia,Saint Lucia,8.212099026486579e-6,6.541464897628999e-4,0.0014848422317245264
Laos,Lao People's Democratic Republic,1.8427752333531634e-6,0.0029000678327137,0.001477173953167058
Antigua and Barbuda,Antigua and Barbuda,2.4123040890304325e-5,1.945157537451e-4,0.0012969939541039913
Liberia,Liberia,9.671478070350159e-6,4.7132860908140003e-4,0.001259991952642333
Zambia,Zambia,3.0133703731979744e-5,1.354897244059e-4,0.0011285219008342936
Mozambique,Mozambique,2.4580642793888668e-05,1.472874978588e-4,0.0010007146052722154
Zimbabwe,Zimbabwe,6.961114363039114e-5,4.97699364124e-5,9.57628302101256e-4
Guinea-Bissau,Guinea-Bissau,8.038952360265477e-6,3.9351896376630004e-4,8.744122620449613e-4
Timor-Leste,Timor-Leste,8.533657120897199e-7,0.0036121098972938,8.520150425885651e-4
Tuvalu,Tuvalu,7.915276170107547e-7,0.0029227459593097003,6.394524554194741e-4
Burundi,Burundi,1.1217430447324289e-5,1.5628600564419998e-4,4.845790065849339e-4
Marshall Islands,Marshall Islands,1.3604380917372346e-7,0.011684236965472198,4.393698561548254e-4
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,2.2880095179217125e-6,5.480296938597e-4,3.4658761175561284e-4
Equatorial Guinea,Equatorial Guinea,1.532347996056758e-5,6.9829457031e-5,2.9576527825698795e-4
Central African Republic,Central African Republic,5.299524748267319e-6,1.748195911011e-4,2.5608146339128744e-4
Kiribati,Kiribati,3.3330733247562248e-6,2.606504431622e-4,2.4013444159028647e-4
South Sudan,South Sudan,2.040038756655062e-5,3.9277413437000005e-5,2.2147892996263183e-4
Tonga,Tonga,5.256238081712043e-7,0.0014291312001176,2.076338932396884e-4
Bhutan,Bhutan,1.304783806166166e-6,5.360324212559e-4,1.9332175740542106e-4
Fiji,Fiji,4.736798083048735e-6,1.476200428998e-4,1.9327750813451347e-4
Malawi,Malawi,8.113158074360235e-6,8.081253982809998e-5,1.8122571097426704e-4
Samoa,Samoa,1.6819961861478537e-6,3.523258517346e-4,1.6380254135631378e-4
American Samoa,American Samoa,2.4735238031586083e-8,0.019462985615396697,1.330689328078265e-4
Madagascar,Madagascar,9.733316165429124e-6,3.00556644097e-5,8.086084619852478e-5
Nauru,Nauru,1.0718603147020636e-7,0.0024562489332416,7.277156066568671e-5
Solomon Islands,Solomon Islands,6.06013331773859e-7,6.0043333524099995e-5,1.0057686449961515e-5
Papua New Guinea,Papua New Guinea,4.2049904653696343e-7,5.4681082079e-5,6.3555513770533935e-6
Palau,Palau,4.122539671931014e-8,5.189874674376e-4,5.9138844194871335e-6
Russia,Russian Federation,0.14382529862512766,0,0
Germany,Germany,0.12358429874864307,0,0
United Kingdom,United Kingdom,0.06262016765123839,0,0
Bulgaria,Bulgaria,0.0611693964702098,0,0
Iran,Iran (Islamic Republic of),0.050036616191239114,0,0
Georgia,Georgia,0.03361454536873666,0,0
Ukraine,Ukraine,0.03168089287085546,0,0
Iraq,Iraq,0.027654837117406315,0,0
Netherlands,Netherlands,0.0262185298668167,0,0
Poland,Poland,0.02560679032743853,0,0
France,France,0.021738341326917144,0,0
Romania,Romania,0.019392785277714947,0,0
Azerbaijan,Azerbaijan,0.01800490343938167,0,0
Israel,Israel,0.014862229609373577,0,0
Kazakhstan,Kazakhstan,0.014595367310060302,0,0
Greece,Greece,0.013919013145134121,0,0
Belgium,Belgium,0.012921020496273717,0,0
Austria,Austria,0.010120979183479158,0,0
Italy,Italy,0.009378699425389289,0,0
Sweden,Sweden,0.00876763392124748,0,0
Uzbekistan,Uzbekistan,0.008750455298434543,0,0
Switzerland,Switzerland,0.008061071846875224,0,0
Serbia,Serbia,0.007363210392480577,0,0
Denmark,Denmark,0.006946508204981462,0,0
Czechia,Czechia,0.00668287385423131,0,0
Belarus,Belarus,0.006360252144585332,0,0
Spain,Spain,0.006091330636705928,0,0
Moldova,Republic of Moldova,0.005898995609581823,0,0
North Macedonia,North Macedonia,0.005702443224373332,0,0
Lithuania,Lithuania,0.005400691871816505,0,0
Libya,Libya,0.005390773041365839,0,0
Morocco,Morocco,0.0053763833166409645,0,0
Algeria,Algeria,0.005239677839849896,0,0
Tunisia,Tunisia,0.004222416440562886,0,0
Slovakia,Slovakia,0.004185424892086649,0,0
Norway,Norway,0.004069422809528019,0,0
Canada,Canada,0.00406574344287082,0,0
Bosnia and Herzegovina,Bosnia and Herzegovina,0.004046579817205849,0,0
Hungary,Hungary,0.003796543663563561,0,0
Kyrgyzstan,Kyrgyzstan,0.003349132678048232,0,0
Albania,Albania,0.0031669205470885534,0,0
South Korea,Republic of Korea,0.003012034670344269,0,0
Turkmenistan,Turkmenistan,0.00298592662660193,0,0
Ireland,Ireland,0.002681336905480979,0,0
Finland,Finland,0.0024883958650250997,0,0
United Arab Emirates,United Arab Emirates,0.0022097472247897742,0,0
Qatar,Qatar,0.002194361906734128,0,0
Latvia,Latvia,0.0021395177002085934,0,0
Bahrain,Bahrain,0.0019537560625913822,0,0
Estonia,Estonia,0.001942173787383092,0,0
Portugal,Portugal,0.0015349575636690903,0,0
Tajikistan,Tajikistan,0.0014710107895479323,0,0
South Africa,South Africa,0.0013605803193559162,0,0
Japan,Japan,0.0013596032774536686,0,0
Croatia,Croatia,0.0013245967318294663,0,0
Slovenia,Slovenia,0.0010587671287040105,0,0
Armenia,Armenia,8.994660119710884e-4,0,0
Mongolia,Mongolia,6.84665204904795e-4,0,0
Montenegro,Montenegro,6.660704897145501e-4,0,0
New Zealand,New Zealand,4.3356543602714875e-4,0,0
Chile,Chile,4.0423562753119554e-4,0,0
Luxembourg,Luxembourg,2.9852340399370457e-4,0,0
Malta,Malta,2.88035663068312e-4,0,0
Uruguay,Uruguay,1.356171263176786e-4,0,0
Iceland,Iceland,8.022256074594157e-5,0,0
Andorra,Andorra,1.3505439965246002e-5,0,0
Botswana,Botswana,9.708580927397538e-6,0,0
Namibia,Namibia,8.428532359262958e-6,0,0
San Marino,San Marino,4.24827713192491e-6,0,0
Monaco,Monaco,3.988557132593256e-6,0,0
Eswatini,Eswatini,2.689957135934987e-6,0,0
Lesotho,Lesotho,2.343663803492781e-6,0,0
North Korea,Democratic People's Republic of Korea,1.0945342828976842e-6,0,0
Bermuda,Bermuda,1.236761901579304e-7,0,0
