district_id,province_name,district_name,pi_scenario,year,lambda_import_year,q_import_year,M_climate_mean,weighted_rate_pp_year
TUR.10.4_1,Artvin,Hopa,high,2024,2.3387956528373e-4,2.2966999281393008e-5,1,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2025,2.5495558592716954e-4,2.5081425873541008e-5,1.0920669637443554,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2026,2.4156121672707606e-4,2.3763761454964616e-5,1.0346927801457857,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2027,2.3881060690758023e-4,2.3493171365740473e-5,1.022910682808236,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2028,2.3679726074225137e-4,2.3253513978027662e-5,1.0124754719962425,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2029,2.3651252410885706e-4,2.3267098376744677e-5,1.013066966468568,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2030,2.3286814248474975e-4,2.2908583667824445e-5,0.9974564586022555,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2031,2.640017022671285e-4,2.59713320986954e-5,1.1308156788507484,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2032,2.5505488284302124e-4,2.5046391854743888e-5,1.090541498025257,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2033,2.500387240220189e-4,2.459773222640571e-5,1.0710057886806905,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2034,2.540617898157103e-4,2.4993499178838086e-5,1.088238423588898,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2035,2.2512213252747791e-4,2.2146572346781745e-5,0.9642768860672727,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2036,2.4957416053168817e-4,2.4508191448391337e-5,1.0671069728255305,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2037,2.4679476905334124e-4,2.4278609771832826e-5,1.0571104517281507,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2038,2.5606538470155835e-4,2.519060169947629e-5,1.0968207435945374,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2039,2.470703677596912e-4,2.4305721661121993e-5,1.0582909662215443,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2040,2.590762032174404e-4,2.5441280544602485e-5,1.1077359131618554,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2041,2.5248182699945246e-4,2.4838071197685885e-5,1.0814707171151838,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2042,2.6828540977105964e-4,2.6392738958991302e-5,1.1491648085898385,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2043,2.6343049131983246e-4,2.5915139590493297e-5,1.1283689153508025,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2044,2.691634472446986e-4,2.6431834754703232e-5,1.1508671403781745,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2045,2.5601696253970427e-4,2.518583819710596e-5,1.09661332912937,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2046,2.656080391014017e-4,2.612935443091491e-5,1.1376963717529034,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2047,2.6611715536436586e-4,2.617943840421688e-5,1.1398771555432696,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2048,2.704247081876982e-4,2.6555688865781413e-5,1.1562600691129385,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2049,2.979030686860614e-4,2.930635150666383e-5,1.2760315324794949,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2050,2.6587187870874877e-4,2.6155309476805222e-5,1.1388265205382009,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2051,2.6982316966877543e-4,2.6544015017559985e-5,1.155751759436292,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2052,2.683155625781943e-4,2.6348573623602434e-5,1.1472417361875427,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2053,2.682383433404895e-4,2.6388108831487678e-5,1.1489632009001085,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2054,2.557769435852611e-4,2.516222646942179e-5,1.095585217208976,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2055,2.754779879788428e-4,2.710030363162197e-5,1.1799740288628495,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2056,2.7158709158129474e-4,2.6669833322334746e-5,1.1612302160233043,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2057,2.774184963946735e-4,2.7291199656276355e-5,1.188286152697255,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2058,2.848414649512651e-4,2.802142815117037e-5,1.2200822973368677,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2059,2.693630912315298e-4,2.6498755124171325e-5,1.1537810263249417,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2060,3.098737425427187e-4,3.042952272780397e-5,1.3249377846236992,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2061,2.796906905580377e-4,2.7514724965538306e-5,1.1980190486356805,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2062,2.9207743546302205e-4,2.8733260354241175e-5,1.2510774806193279,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2063,2.6734440978979366e-4,2.6300168730508666e-5,1.1451340628022575,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2064,3.013062083319698e-4,2.958820545573282e-5,1.288304286247103,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2065,2.873644206310234e-4,2.8269621743404194e-5,1.2308893397578,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2066,2.659743005996439e-4,2.616538516231337e-5,1.139265241549563,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2067,2.7869420061091645e-4,2.7416696058657486e-5,1.1937506043989676,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2068,2.9014340123723834e-4,2.8492035746729982e-5,1.2405738733258342,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2069,2.7055676528487895e-4,2.6616181966754304e-5,1.1588940960703136,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2070,2.8208809883222355e-4,2.7750568060369574e-5,1.2082883009353287,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2071,2.935855447819391e-4,2.888161921188459e-5,1.2575374519178237,3.858537867424856e-4
TUR.10.4_1,Artvin,Hopa,high,2072,3.0867008208186326e-4,3.0311325362797348e-5,1.3197911085990606,3.858537867424856e-4
