district_id,year,species,Lambda_import_year,p_ge1_major_year_mean,p_ge1_major_year_p2_5,p_ge1_major_year_p97_5,mean_q_import_year_mean,mean_q_import_year_p2_5,mean_q_import_year_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_year_mean,mean_p_est_year_p2_5,mean_p_est_year_p97_5,mean_temp_c_year,mean_rh_year
TUR.10.4_1,2025,aegypti,0.018330974880161683,8.990752586868212e-14,7.904510379574957e-14,1.0036693698367571e-13,1.5013878490477417e-4,1.5013878490477417e-4,1.5013878490477417e-4,7.492284583425892e-15,6.5900774206568526e-15,8.367943689383388e-15,2.9853114998553326e-11,2.625825783660514e-11,3.334219104515294e-11,11.25774147442437,82.59211403038665
TUR.10.4_1,2026,aegypti,0.020861873926758666,3.859509045689435e-12,3.333683329387327e-12,4.39346337088864e-12,1.7086594509779784e-4,1.7086594509779784e-4,1.7086594509779784e-4,3.2162587667633483e-13,2.7779995392631103e-13,3.661250692106034e-13,1.3671872063636403e-9,1.1808891857423289e-9,1.5563478494388473e-9,12.653347005130604,78.06356292870208
TUR.10.4_1,2027,aegypti,0.01986016308077982,5.850420148334478e-14,5.129230373768223e-14,6.561418075534675e-14,1.6266234931059756e-4,1.6266234931059756e-4,1.6266234931059756e-4,4.8780000627912525e-15,4.2798231090531315e-15,5.4674982494358526e-15,1.796974019585562e-11,1.577025200242647e-11,2.0135815700002743e-11,12.084069478824306,82.12509335981373
TUR.10.4_1,2028,aegypti,0.01889155900790684,1.432187701766452e-17,0,1.1102230246251565e-16,1.5451042071520926e-4,1.5451042071520926e-4,1.5451042071520926e-4,4.336538479607707e-18,3.778737689350753e-18,4.917730464785724e-18,1.6821895728232525e-14,1.4663964487127147e-14,1.9068311744400527e-14,12.151536239499418,80.23289734032318
TUR.10.4_1,2029,aegypti,0.01781064126756222,1.8952732154897677e-7,1.714092842247661e-7,2.068026692059188e-7,1.4587737748723387e-4,1.4587737748723387e-4,1.4587737748723387e-4,1.5793943462722145e-8,1.4284107023125684e-8,1.7233555763463996e-8,6.476947926353346e-5,5.8577781781778594e-5,7.067319414512663e-5,11.571021723128426,82.09587913658783
TUR.10.4_1,2030,aegypti,0.02104119040211249,2.4771208417817546e-12,2.2112117692429934e-12,2.767744367027092e-12,1.7233446444798553e-4,1.7233446444798553e-4,1.7233446444798553e-4,2.0642655315340756e-13,1.842724019127401e-13,2.3065055562899587e-13,8.467820411158419e-10,7.551938893679554e-10,9.468861643842825e-10,12.018559153690505,82.68236404564544
TUR.10.4_1,2031,aegypti,0.02012837858957809,2.85446588524918e-8,2.5470735728894134e-8,3.1493852548081235e-8,1.6485893046094824e-4,1.6485893046094824e-4,1.6485893046094824e-4,2.378721571184313e-9,2.122561310434217e-9,2.6244877137637064e-9,8.631794502069533e-6,7.702252029685718e-6,9.523619280559874e-6,12.263408753588367,81.00572067406341
TUR.10.4_1,2032,aegypti,0.017778870982116418,2.4910407070422024e-14,2.1871393585115584e-14,2.808864252301646e-14,1.4541071499713878e-4,1.4541071499713878e-4,1.4541071499713878e-4,2.0758119075140758e-15,1.820581360782643e-15,2.337042576241422e-15,1.0140550704695883e-11,8.893723720445243e-12,1.141668889056054e-11,11.321999185596473,83.34326924787526
TUR.10.4_1,2033,aegypti,0.020470877511147526,2.8488322811881515e-16,2.220446049250313e-16,3.3306690738754696e-16,1.676638559880983e-4,1.676638559880983e-4,1.676638559880983e-4,2.065331937064609e-17,1.8751491517027283e-17,2.263437388465368e-17,8.310050795638328e-14,7.531914906581486e-14,9.147590092813591e-14,12.090877769703237,81.70063390241627
TUR.10.4_1,2034,aegypti,0.020837806217417817,2.4565199711612528e-8,2.2323465825868638e-8,2.7006067035428846e-8,1.7066884145512198e-4,1.7066884145512198e-4,1.7066884145512198e-4,2.0470999760566543e-9,1.860288820955502e-9,2.250505580958059e-9,7.175555045010449e-6,6.5207391939136236e-6,7.88853822061957e-6,12.198136015052167,81.62732241458261
TUR.10.4_1,2035,aegypti,0.02015741737404409,1.1113332476497816e-16,1.1102230246251565e-16,1.1102230246251565e-16,1.6509674652998943e-4,1.6509674652998943e-4,1.6509674652998943e-4,1.1280755194574035e-17,9.927606334539633e-18,1.2839574527248168e-17,4.853752585039691e-14,4.271559957598943e-14,5.5244466408884325e-14,11.97449657650249,81.1122626255608
TUR.10.4_1,2036,aegypti,0.022305577126221717,1.1394218901727981e-15,9.992007221626409e-16,1.3322676295501878e-15,1.824301098293605e-4,1.824301098293605e-4,1.824301098293605e-4,9.587761036625485e-17,8.470107771506247e-17,1.0916545495638413e-16,3.7272246400377185e-13,3.2927202631150014e-13,4.244847529033535e-13,13.36302649310685,81.32179377383554
TUR.10.4_1,2037,aegypti,0.02221804240087016,1.053955176307908e-6,9.732535182133128e-7,1.1376924169720359e-6,1.8197227922857792e-4,1.8197227922857792e-4,1.8197227922857792e-4,8.782959806615028e-8,8.110445989027127e-8,9.480770145097152e-8,2.887641813103263e-4,2.666551119598693e-4,3.11702600517888e-4,13.86988756389873,80.50319661603932
TUR.10.4_1,2038,aegypti,0.02052274664436336,1.5717130288583903e-8,1.4189168498490723e-8,1.741496157836586e-8,1.6808864210702637e-4,1.6808864210702637e-4,1.6808864210702637e-4,1.3097608563470332e-9,1.1824307098684525e-9,1.451246799868259e-9,4.661481573075333e-6,4.208309434505093e-6,5.165034656031779e-6,12.28173581094997,81.68036768740976
TUR.10.4_1,2039,aegypti,0.02268007797253915,7.304001847785457e-14,6.45039577307216e-14,8.160416786751057e-14,1.8575608479818687e-4,1.8575608479818687e-4,1.8575608479818687e-4,6.086235473960592e-15,5.3750011765248884e-15,6.796387816512923e-15,1.9627676114038667e-11,1.733527118149188e-11,2.1916172117849204e-11,13.127686275357572,80.00668261355722
TUR.10.4_1,2040,aegypti,0.019232529698652655,3.602574862870966e-10,3.183079744228934e-10,4.0203565754293174e-10,1.5729890393674043e-4,1.5729890393674043e-4,1.5729890393674043e-4,3.002145706000145e-11,2.65256652743652e-11,3.350296774323492e-11,1.3557383187962994e-7,1.197871677153147e-7,1.512960419204623e-7,12.12288662127114,81.35170926557545
TUR.10.4_1,2041,aegypti,0.022978314059910587,0,0,0,1.8819845812874844e-4,1.8819845812874844e-4,1.8819845812874844e-4,5.378255893794767e-19,4.656851401118931e-19,6.14122278522559e-19,1.7096139319032015e-15,1.4802973661668755e-15,1.9521421516325668e-15,13.09170783888754,81.78951253400807
TUR.10.4_1,2042,aegypti,0.02191467845713455,6.465781443587559e-10,5.841234385073335e-10,7.178858951739642e-10,1.7948789413526253e-4,1.7948789413526253e-4,1.7948789413526253e-4,5.3881512037344555e-11,4.8676948287445795e-11,5.982381629922057e-11,2.1263935936365515e-7,1.9199834018028086e-7,2.3612656292285963e-7,12.243462238028217,81.34447659955983
TUR.10.4_1,2043,aegypti,0.019879078555338655,1.0949019468853294e-15,9.992007221626409e-16,1.2212453270876722e-15,1.6281725990271076e-4,1.6281725990271076e-4,1.6281725990271076e-4,9.14477185555193e-17,8.100715714558947e-17,1.0365923213087194e-16,3.9897116166365263e-13,3.534205335794146e-13,4.5224819259874017e-13,11.600983625466196,83.3414852411207
TUR.10.4_1,2044,aegypti,0.0211162479733508,3.696197490141717e-7,3.335229912998505e-7,4.066175102762637e-7,1.7270392964355286e-4,1.7270392964355286e-4,1.7270392964355286e-4,3.080164575109272e-8,2.7793582609414652e-8,3.388479252083327e-8,1.0669463089102087e-4,9.627492185366089e-5,1.1737442408254658e-4,12.397740392202703,78.66411516970956
TUR.10.4_1,2045,aegypti,0.02192611113165684,6.473044322774513e-15,5.773159728050814e-15,7.216449660063518e-15,1.7958152162628194e-4,1.7958152162628194e-4,1.7958152162628194e-4,5.394393082135075e-16,4.807699248824365e-16,5.992292029908402e-16,2.0955253180835836e-12,1.864526588679638e-12,2.3308852533284375e-12,12.954491447224784,80.09505516197845
TUR.10.4_1,2046,aegypti,0.02224964781584731,1.1895580221225055e-6,1.0824280244597917e-6,1.296715043283547e-6,1.8223110991862543e-4,1.8223110991862543e-4,1.8223110991862543e-4,9.912983517834313e-8,9.020233536661477e-8,1.0805958694152667e-7,3.254271810682645e-4,2.9611964624791994e-4,3.5474210866766445e-4,13.804312917902635,79.27783892459237
TUR.10.4_1,2047,aegypti,0.022099727356095597,1.7243631165948513e-6,1.5884134383553627e-6,1.8607296041250886e-6,1.8100334443800956e-4,1.8100334443800956e-4,1.8100334443800956e-4,1.4369692638300177e-7,1.3236778653229102e-7,1.5506080034028567e-7,4.749334075835192e-4,4.374894114201423e-4,5.12492201410401e-4,12.903374128852851,79.55367269025807
TUR.10.4_1,2048,aegypti,0.023003821020401882,2.386145800677597e-5,2.297937195314681e-5,2.4757570553235466e-5,1.881402078917719e-4,1.881402078917719e-4,1.881402078917719e-4,1.9884548338980257e-6,1.9149476627632038e-6,2.063130879433514e-6,0.0063227607990402,0.006089027423669288,0.006560210886057534,13.19078520269649,80.62452910250985
TUR.10.4_1,2049,aegypti,0.020869696886822248,4.635958283927266e-15,4.107825191113079e-15,5.220823773299796e-15,1.7093001158926166e-4,1.7093001158926166e-4,1.7093001158926166e-4,3.863118466230248e-16,3.4042083369006665e-16,4.382588773073945e-16,1.352042561242328e-12,1.1914298251684369e-12,1.533850592834914e-12,12.494356317633954,81.9372137974358
