parameter,level,value,year,lambda_total,M_climate
k,k010,0.1,2025,22.45853653439188,0.957691402643519
k,k010,0.1,2050,25.23894616538748,1.0762555695856102
k,k010,0.1,2075,25.811932172700548,1.100689242606218
k,k013,0.13,2025,22.160886952800947,0.9449988234365747
k,k013,0.13,2050,25.77541942982463,1.0991322404612933
k,k013,0.13,2075,26.520301194239103,1.1308960153880834
k,k020,0.2,2025,21.46637122712241,0.9153828052870381
k,k020,0.2,2050,27.027190271621933,1.1525111391712204
k,k020,0.2,2075,28.173162055092003,1.201378485212436
eta,eta_low,0.15,2025,13.296532171680568,0.9449988234365747
eta,eta_low,0.15,2050,15.465251657894777,1.0991322404612933
eta,eta_low,0.15,2075,15.912180716543464,1.1308960153880834
eta,eta_base,0.25,2025,22.160886952800947,0.9449988234365747
eta,eta_base,0.25,2050,25.77541942982463,1.0991322404612933
eta,eta_base,0.25,2075,26.520301194239103,1.1308960153880834
eta,eta_high,0.33,2025,29.25237077769725,0.9449988234365747
eta,eta_high,0.33,2050,34.02355364736851,1.0991322404612933
eta,eta_high,0.33,2075,35.00679757639562,1.1308960153880834
