month,n,mean_temp,mean_rh,mean_lambda_local,median_lambda_local,max_lambda_local,mean_R0,median_R0,max_R0,mean_p_est,month_f
1,255,4.06022857212845,75.81142739688649,3.057658759297853e-8,0,4.8546940903500235e-6,1.5288293796489265e-7,0,2.4273470451750117e-5,0,Oca
2,255,5.273123415340396,74.48187163109873,8.587211220340733e-7,0,2.1456892857291192e-4,4.293605610170366e-6,0,0.0010728446428645594,0,Şub
3,255,8.034004856792151,72.27603122486788,1.9959039091132275e-5,0,0.0016799142234410962,9.979519545566137e-5,0,0.00839957111720548,0,Mar
4,255,12.513907666299858,69.36182750627107,0.0016234447191140105,7.184627292236752e-6,0.02206606042205436,0.008117223595570051,3.592313646118376e-5,0.11033030211027178,0,Nis
5,255,17.64004467608882,66.94276900945925,0.016110805854407446,0.010413087642965725,0.05991222212321749,0.08055402927203723,0.052065438214828626,0.2995611106160874,2.6122894697062506e-18,May
6,255,22.585177556206197,62.107839083204084,0.05001043369694848,0.04847465427964049,0.10845761564018823,0.2500521684847424,0.24237327139820244,0.5422880782009412,1.8041868913886607e-10,Haz
7,255,25.9909844491996,55.40577015596278,0.06038619063797046,0.050598590036125095,0.1358505406634142,0.3019309531898523,0.25299295018062545,0.679252703317071,4.019095226212522e-8,Tem
8,255,26.16141679053213,54.195005065319585,0.06067264627194179,0.04939769601636039,0.13158672858551837,0.30336323135970894,0.24698848008180194,0.6579336429275918,1.9020695186209563e-8,Ağu
9,255,22.564165178934733,58.01645510056439,0.046182052003966904,0.04633409047804982,0.11226992510154422,0.2309102600198345,0.2316704523902491,0.561349625507721,2.1502510229881262e-10,Eyl
10,255,16.992419078303318,67.27954813639323,0.01453791430513698,0.007060546145963203,0.07361740082586177,0.07268957152568489,0.03530273072981602,0.36808700412930884,7.405840646617221e-16,Eki
11,255,10.461740129134235,73.68776035682828,8.498679404449915e-4,0,0.0164387530313514,0.004249339702224957,0,0.082193765156757,0,Kas
12,255,5.504799241353484,76.28826884849398,1.4402694106527199e-5,0,0.0020013994695285485,7.201347053263598e-5,0,0.010006997347642741,0,Ara
