district_id,month,R_suit_mean,pr_mm_mean,m_eff_factor
TUR.10.4_1,1,0.3,17187.888696190326,0.3
TUR.10.4_1,2,0.3,13885.385432347666,0.3
TUR.10.4_1,3,0.3,15334.654411297606,0.3
TUR.10.4_1,4,0.3,12836.128722290197,0.3
TUR.10.4_1,5,0.3,13524.963707974171,0.3
TUR.10.4_1,6,0.3,17729.15005840495,0.3
TUR.10.4_1,7,0.3,15278.371993226265,0.3
TUR.10.4_1,8,0.3,15790.94228233001,0.3
TUR.10.4_1,9,0.3,18615.097622257465,0.3
TUR.10.4_1,10,0.3,23698.728250722055,0.3
TUR.10.4_1,11,0.3,22120.07719540471,0.3
TUR.10.4_1,12,0.3,17488.051430155974,0.3
TUR.39.3_1,1,0.3,8473.196276083774,0.3
TUR.39.3_1,2,0.3,6220.602819827447,0.3
TUR.39.3_1,3,0.3,6886.259092276289,0.3
TUR.39.3_1,4,0.3,5369.511873062095,0.3
TUR.39.3_1,5,0.31076914871642036,4416.493731621325,0.31076914871642036
TUR.39.3_1,6,0.3059291165441196,1754.074905742671,0.3059291165441196
TUR.39.3_1,7,0.4379368727765954,562.9634146672611,0.4379368727765954
TUR.39.3_1,8,0.46834362775215604,488.02222497064906,0.46834362775215604
TUR.39.3_1,9,0.3609447804859212,1638.490043352932,0.3609447804859212
TUR.39.3_1,10,0.32728196218328753,4164.603159434631,0.32728196218328753
TUR.39.3_1,11,0.3137254901960784,6079.934001172525,0.3137254901960784
TUR.39.3_1,12,0.3,6394.670081214808,0.3
TUR.40.25_1,1,0.3,7519.517893736686,0.3
TUR.40.25_1,2,0.3,4950.622661220535,0.3
TUR.40.25_1,3,0.3,7601.494289012694,0.3
TUR.40.25_1,4,0.31746843128020535,4149.788683586475,0.31746843128020535
TUR.40.25_1,5,0.31874640335516163,2993.556995964617,0.31874640335516163
TUR.40.25_1,6,0.31911019075933056,2482.1098588867903,0.31911019075933056
TUR.40.25_1,7,0.37678522503117756,1783.2597648436304,0.37678522503117756
TUR.40.25_1,8,0.373287951703924,1392.660592248125,0.373287951703924
TUR.40.25_1,9,0.3541912550659662,5155.215936089052,0.3541912550659662
TUR.40.25_1,10,0.3,6452.039712665696,0.3
TUR.40.25_1,11,0.3,8391.727539883326,0.3
TUR.40.25_1,12,0.3,8881.508653535164,0.3
TUR.59.4_1,1,0.3,9197.374402073685,0.3
TUR.59.4_1,2,0.3,7396.33996351615,0.3
TUR.59.4_1,3,0.3,6813.554294985626,0.3
TUR.59.4_1,4,0.3,4319.987517856233,0.3
TUR.59.4_1,5,0.31065938422796513,4304.6258048255095,0.31065938422796513
TUR.59.4_1,6,0.41021766330192283,965.0952642018544,0.41021766330192283
TUR.59.4_1,7,0.42198143225150553,475.6507447110449,0.42198143225150553
TUR.59.4_1,8,0.46170810454646044,534.0612593508677,0.46170810454646044
TUR.59.4_1,9,0.43473744018741833,918.065645361323,0.43473744018741833
TUR.59.4_1,10,0.33350243438930555,3200.331351100281,0.33350243438930555
TUR.59.4_1,11,0.3135897422208711,6618.669607114498,0.3135897422208711
TUR.59.4_1,12,0.3,7655.912330277476,0.3
TUR.81.6_1,1,0.3,8807.684660328056,0.3
TUR.81.6_1,2,0.3,7790.0506535409695,0.3
TUR.81.6_1,3,0.3,9118.48026209718,0.3
TUR.81.6_1,4,0.3,6382.903250555123,0.3
TUR.81.6_1,5,0.3,4816.538224705582,0.3
TUR.81.6_1,6,0.3137254901960784,4476.271589877823,0.3137254901960784
TUR.81.6_1,7,0.31614000738862497,3979.3266823439512,0.31614000738862497
TUR.81.6_1,8,0.33519674877861255,2631.9496604151213,0.33519674877861255
TUR.81.6_1,9,0.295044243768399,6844.359064016407,0.295044243768399
TUR.81.6_1,10,0.3044107812992087,8323.643199499327,0.3044107812992087
TUR.81.6_1,11,0.3,8543.973379534013,0.3
TUR.81.6_1,12,0.3,9419.850462313643,0.3
