district_id,month,pr_mm_mean,pr_mm_sd
TUR.10.4_1,1,17187.888696190326,5589.117998691635
TUR.10.4_1,2,13885.385432347666,5626.061576455272
TUR.10.4_1,3,15334.654411297606,5388.046702538196
TUR.10.4_1,4,12836.128722290197,3911.1023493291177
TUR.10.4_1,5,13524.963707974171,4382.213691322057
TUR.10.4_1,6,17729.15005840495,5872.628501586443
TUR.10.4_1,7,15278.371993226265,7112.7027412445805
TUR.10.4_1,8,15790.94228233001,8169.415293535528
TUR.10.4_1,9,18615.097622257465,6862.883345561395
TUR.10.4_1,10,23698.728250722055,11704.87491913692
TUR.10.4_1,11,22120.07719540471,10089.035426117356
TUR.10.4_1,12,17488.051430155974,7033.596494241082
TUR.39.3_1,1,8473.196276083774,3818.1842606528676
TUR.39.3_1,2,6220.602819827447,2576.051116854753
TUR.39.3_1,3,6886.259092276289,3475.4879986774667
TUR.39.3_1,4,5369.511873062095,2773.43652592393
TUR.39.3_1,5,4416.493731621325,2344.2750295554097
TUR.39.3_1,6,1754.074905742671,1341.65244355118
TUR.39.3_1,7,562.9634146672611,655.8144020220911
TUR.39.3_1,8,488.02222497064906,908.6481624375141
TUR.39.3_1,9,1638.490043352932,1267.6007428737119
TUR.39.3_1,10,4164.603159434631,2710.2775324623167
TUR.39.3_1,11,6079.934001172525,3414.3052180809727
TUR.39.3_1,12,6394.670081214808,3463.7792565451696
TUR.40.25_1,1,7519.517893736686,3132.227976018714
TUR.40.25_1,2,4950.622661220535,1924.2266398910754
TUR.40.25_1,3,7601.494289012694,3530.1238329055236
TUR.40.25_1,4,4149.788683586475,2869.3392172471126
TUR.40.25_1,5,2993.556995964617,2090.8952100003553
TUR.40.25_1,6,2482.1098588867903,1811.4311664545774
TUR.40.25_1,7,1783.2597648436304,1954.364448998517
TUR.40.25_1,8,1392.660592248125,2502.230576261833
TUR.40.25_1,9,5155.215936089052,5862.858634945824
TUR.40.25_1,10,6452.039712665696,4715.555339578936
TUR.40.25_1,11,8391.727539883326,4288.878878578391
TUR.40.25_1,12,8881.508653535164,4390.893496816797
TUR.59.4_1,1,9197.374402073685,4173.594346926115
TUR.59.4_1,2,7396.33996351615,3518.842174210715
TUR.59.4_1,3,6813.554294985626,4090.1864015758542
TUR.59.4_1,4,4319.987517856233,2731.427619277314
TUR.59.4_1,5,4304.6258048255095,2821.9378321141367
TUR.59.4_1,6,965.0952642018544,809.5015191086063
TUR.59.4_1,7,475.6507447110449,563.2773352896053
TUR.59.4_1,8,534.0612593508677,950.088562454584
TUR.59.4_1,9,918.065645361323,844.1920452863864
TUR.59.4_1,10,3200.331351100281,2180.111922139317
TUR.59.4_1,11,6618.669607114498,3557.628812472172
TUR.59.4_1,12,7655.912330277476,4199.049844056428
TUR.81.6_1,1,8807.684660328056,3293.1067058709737
TUR.81.6_1,2,7790.0506535409695,2905.8017549581537
TUR.81.6_1,3,9118.48026209718,2634.5388566978213
TUR.81.6_1,4,6382.903250555123,3158.239857797942
TUR.81.6_1,5,4816.538224705582,2216.006307473312
TUR.81.6_1,6,4476.271589877823,2564.2867208867906
TUR.81.6_1,7,3979.3266823439512,3216.6987081847674
TUR.81.6_1,8,2631.9496604151213,2574.007777168866
TUR.81.6_1,9,6844.359064016407,4384.867732785347
TUR.81.6_1,10,8323.643199499327,5268.820992746511
TUR.81.6_1,11,8543.973379534013,3850.908987468534
TUR.81.6_1,12,9419.850462313643,4137.969717109024
