district_id,province_name,district_name,pi_scenario,year,month,V_TR,rate_pp_year,pi_weighted,seasonal_multiplier,M_climate,eta,days_in_month,d_days,lambda_import_per_day,lambda_import_window,lambda_import,expected_imported_cases_per_month,q_import_month,eta_sens,scale_factor
TUR.10.4_1,Artvin,Hopa,high,2024,1,0.06705690518671184,3.858537867424856e-4,2.390332958990271e-5,0.6281034622015411,1,0.25,31,3,5.289514909657538e-7,1.5868544728972614e-6,1.639749621993837e-5,1.639749621993837e-5,1.5868532138307856e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,2,0.06705690518671184,3.858537867424856e-4,2.4911093353785496e-5,0.6545846179366359,1,0.25,29,3,5.512520722903001e-7,1.6537562168709002e-6,1.5986310096418703e-5,1.5986310096418703e-5,1.6537548493955612e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,3,0.06705690518671184,3.858537867424856e-4,2.480168879337441e-5,0.6517097770197132,1,0.25,31,3,5.488310829829217e-7,1.646493248948765e-6,1.7013763572470573e-5,1.7013763572470573e-5,1.6464918934921968e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,4,0.06705690518671184,3.858537867424856e-4,3.0496219788345158e-5,0.8013462854757657,1,0.25,30,3,6.748440992370617e-7,2.024532297711185e-6,2.0245322977111852e-5,2.0245322977111852e-5,2.0245302483345995e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,5,0.06705690518671184,3.858537867424856e-4,4.1983694702762975e-5,1.103207914941687,1,0.25,31,3,9.290478895734409e-7,2.7871436687203227e-6,2.8800484576776666e-5,2.8800484576776666e-5,2.7871397846324086e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,6,0.06705690518671184,3.858537867424856e-4,4.7547177973283894e-5,1.2494033544433176,1,0.25,30,3,1.0521609797325699e-6,3.1564829391977096e-6,3.15648293919771e-5,3.15648293919771e-5,3.15647795745555e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,7,0.06705690518671184,3.858537867424856e-4,5.456147630578112e-5,1.4337240087847871,1,0.25,31,3,1.2073788353496506e-6,3.622136506048952e-6,3.742874389583917e-5,3.742874389583917e-5,3.6221299460903467e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,8,0.06705690518671184,3.858537867424856e-4,5.8387165185136425e-5,1.5342554185233497,1,0.25,31,3,1.29203665798039e-6,3.87610997394117e-6,4.005313639739209e-5,4.005313639739209e-5,3.876102461886077e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,9,0.06705690518671184,3.858537867424856e-4,5.0261602678958184e-5,1.3207324366221658,1,0.25,30,3,1.1122278833737767e-6,3.3366836501213302e-6,3.33668365012133e-5,3.33668365012133e-5,3.3366780833876675e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,10,0.06705690518671184,3.858537867424856e-4,4.7326462954133675e-5,1.243603460048037,1,0.25,31,3,1.0472768259154648e-6,3.1418304777463945e-6,3.246558160337941e-5,3.246558160337941e-5,3.141825542174459e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,11,0.06705690518671184,3.858537867424856e-4,2.7597745537177865e-5,0.7251823004971923,1,0.25,30,3,6.107044039316669e-7,1.8321132117950005e-6,1.8321132117950006e-5,1.8321132117950006e-5,1.8321115334840599e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2024,12,0.06705690518671184,3.858537867424856e-4,2.4894438036215938e-5,0.6541469635058071,1,0.25,31,3,5.508835104534317e-7,1.652650531360295e-6,1.7077388824056383e-5,1.7077388824056383e-5,1.6526491657398168e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2025,1,0.06705690518671184,3.858537867424856e-4,2.6104007844751642e-5,0.6281034622015411,1.0920669637443554,0.25,31,3,5.776498130827687e-7,1.732949439248306e-6,1.790714420556583e-5,1.790714420556583e-5,1.732947937704843e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2025,2,0.06705690518671184,3.858537867424856e-4,2.7204550885451262e-5,0.6545846179366359,1.0920669637443554,0.25,28,3,6.020034864930183e-7,1.8060104594790552e-6,1.6856097621804516e-5,1.6856097621804516e-5,1.806008828597605e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2025,3,0.06705690518671184,3.858537867424856e-4,2.7085074052801694e-5,0.6517097770197132,1.0920669637443554,0.25,31,3,5.993596101021515e-7,1.7980788303064545e-6,1.8580147913166695e-5,1.8580147913166695e-5,1.7980772137882184e-6,0.33,1.32
TUR.10.4_1,Artvin,Hopa,high,2025,4,0.06705690518671184,3.858537867424856e-4,3.3303867395861886e-5,0.8013462854757657,1.0920669637443554,0.25,30,3,7.369739118439943e-7,2.210921735531983e-6,2.2109217355319826e-5,2.2109217355319826e-5,2.2109192914232523e-6,0.33,1.32
