İlçe,İl,Tür,Ay,T (°C),EIP ort. (gün),sdlog(T),%5 (gün),Medyan,%95 (gün)
Kartal,İstanbul,albopictus,Mayıs,16.8,16.7,0.306,9.6,15.9,26.4
Kartal,İstanbul,albopictus,Haziran,24.7,6,0.429,2.7,5.5,11.2
Kartal,İstanbul,albopictus,Temmuz,27.1,5.1,0.474,2.1,4.5,9.9
Kartal,İstanbul,albopictus,Ağustos,29.5,4.4,0.525,1.6,3.9,9.1
Kartal,İstanbul,albopictus,Eylül,24.9,5.9,0.433,2.7,5.4,11
Kartal,İstanbul,albopictus,Ekim,14.5,28.9,0.278,17.6,27.8,43.9
Zonguldak,Zonguldak,aegypti,Mayıs,14,54.6,0.279,33.2,52.5,83.2
Zonguldak,Zonguldak,aegypti,Haziran,21.1,11.3,0.387,5.5,10.5,19.8
Zonguldak,Zonguldak,aegypti,Temmuz,22.3,9.8,0.411,4.6,9,17.6
Zonguldak,Zonguldak,aegypti,Ağustos,25.9,7.1,0.486,2.8,6.3,14.1
Zonguldak,Zonguldak,aegypti,Eylül,22.6,9.5,0.415,4.4,8.7,17.3
Zonguldak,Zonguldak,aegypti,Ekim,12.7,119.6,0.263,75,115.6,178.1
Hopa,Artvin,aegypti,Mayıs,12.6,130.7,0.262,82.1,126.3,194.4
Hopa,Artvin,aegypti,Haziran,18.4,16.7,0.342,9,15.7,27.6
Hopa,Artvin,aegypti,Temmuz,21.9,10.2,0.404,4.8,9.4,18.2
Hopa,Artvin,aegypti,Ağustos,24.1,8.2,0.446,3.6,7.4,15.5
Hopa,Artvin,aegypti,Eylül,20,12.9,0.369,6.6,12.1,22.2
Hopa,Artvin,aegypti,Ekim,13.7,62,0.276,37.9,59.7,94
Fethiye,Muğla,albopictus,Mayıs,14.2,31.6,0.274,19.3,30.4,47.7
Fethiye,Muğla,albopictus,Haziran,22.3,7.6,0.387,3.7,7.1,13.3
Fethiye,Muğla,albopictus,Temmuz,24.9,6,0.432,2.7,5.4,11
Fethiye,Muğla,albopictus,Ağustos,28.2,4.7,0.498,1.8,4.2,9.5
Fethiye,Muğla,albopictus,Eylül,21.8,8,0.378,4,7.5,13.9
Fethiye,Muğla,albopictus,Ekim,11.4,138.4,0.244,89.9,134.3,200.6
Eğirdir,Isparta,albopictus,Mayıs,17.3,15.1,0.313,8.6,14.4,24.1
Eğirdir,Isparta,albopictus,Haziran,24,6.4,0.416,3,5.9,11.7
Eğirdir,Isparta,albopictus,Temmuz,24.5,6.2,0.425,2.8,5.6,11.3
Eğirdir,Isparta,albopictus,Ağustos,26.7,5.2,0.466,2.2,4.7,10.1
Eğirdir,Isparta,albopictus,Eylül,24.6,6.1,0.427,2.8,5.6,11.2
Eğirdir,Isparta,albopictus,Ekim,15,25.2,0.284,15.2,24.2,38.5
