district_id,year,species,Lambda_import_year,p_ge1_major_year_mean,p_ge1_major_year_p2_5,p_ge1_major_year_p97_5,mean_q_import_year_mean,mean_q_import_year_p2_5,mean_q_import_year_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_year_mean,mean_p_est_year_p2_5,mean_p_est_year_p97_5,mean_temp_c_year,mean_rh_year
TUR.10.4_1,2025,aegypti,0.023339772865035243,2.328713999411036e-9,2.328713999411036e-9,2.328713999411036e-9,1.9115857818375695e-4,1.9115857818375695e-4,1.9115857818375695e-4,1.9405949741649587e-10,1.9405949741649587e-10,1.9405949741649587e-10,6.08414887998121e-7,6.08414887998121e-7,6.08414887998121e-7,11.987555373027492,82.00079144941334
TUR.10.4_1,2026,aegypti,0.022567114876814898,1.5093976069024961e-9,1.5093976069024961e-9,1.5093976069024961e-9,1.8483098352996738e-4,1.8483098352996738e-4,1.8483098352996738e-4,1.2578313803334305e-10,1.2578313803334305e-10,1.2578313803334305e-10,4.071176310978715e-7,4.071176310978715e-7,4.071176310978715e-7,12.571779522612262,79.88245572553639
TUR.10.4_1,2027,aegypti,0.023083389962273798,1.4865321196211312e-9,1.4865321196211312e-9,1.4865321196211312e-9,1.890589646490933e-4,1.890589646490933e-4,1.890589646490933e-4,1.2387767507675975e-10,1.2387767507675975e-10,1.2387767507675975e-10,3.919843199196027e-7,3.919843199196027e-7,3.919843199196027e-7,12.158861481462486,81.48944526817962
TUR.10.4_1,2028,aegypti,0.022390774658325518,0,0,0,1.831268400967756e-4,1.831268400967756e-4,1.831268400967756e-4,1.8036756229152947e-20,1.8036756229152947e-20,1.8036756229152947e-20,6.47630097698008e-17,6.47630097698008e-17,6.47630097698008e-17,11.52963851721542,83.77635818627044
TUR.10.4_1,2029,aegypti,0.02539449660329965,4.737471413718275e-5,4.737471413718275e-5,4.737471413718275e-5,2.0798528198567867e-4,2.0798528198567867e-4,2.0798528198567867e-4,3.9479101369854435e-6,3.9479101369854435e-6,3.9479101369854435e-6,0.013264306373232532,0.013264306373232532,0.013264306373232532,13.321432067269651,80.11147806948983
TUR.10.4_1,2030,aegypti,0.02466717953822914,5.573319583618286e-13,5.573319583618286e-13,5.573319583618286e-13,2.0202911734032436e-4,2.0202911734032436e-4,2.0202911734032436e-4,4.644748892521258e-14,4.644748892521258e-14,4.644748892521258e-14,1.6317956245496626e-10,1.6317956245496626e-10,1.6317956245496626e-10,13.04720964363671,79.66073216901783
TUR.10.4_1,2031,aegypti,0.024058109373840945,1.1814255280739872e-6,1.1814255280739872e-6,1.1814255280739872e-6,1.970412722641183e-4,1.970412722641183e-4,1.970412722641183e-4,9.845212734141504e-8,9.845212734141504e-8,9.845212734141504e-8,2.9891077305095143e-4,2.9891077305095143e-4,2.9891077305095143e-4,12.51264945995268,81.87432533409759
TUR.10.4_1,2032,aegypti,0.025439061236297217,3.7007078516060332e-6,3.7007078516060332e-6,3.7007078516060332e-6,2.0805482105989057e-4,2.0805482105989057e-4,2.0805482105989057e-4,3.083923209698528e-7,3.083923209698528e-7,3.083923209698528e-7,8.867489973761097e-4,8.867489973761097e-4,8.867489973761097e-4,13.1178748938586,78.91104306684498
TUR.10.4_1,2033,aegypti,0.024526308677413053,2.638905760576904e-10,2.638905760576904e-10,2.638905760576904e-10,2.008754891825356e-4,2.008754891825356e-4,2.008754891825356e-4,2.19908875404286e-11,2.19908875404286e-11,2.19908875404286e-11,7.914796679164837e-8,7.914796679164837e-8,7.914796679164837e-8,12.991372260763812,83.02621958560312
TUR.10.4_1,2034,aegypti,0.023590985362700986,5.879502966343875e-5,5.879502966343875e-5,5.879502966343875e-5,1.9321584449516482e-4,1.9321584449516482e-4,1.9321584449516482e-4,4.89958580528754e-6,4.89958580528754e-6,4.89958580528754e-6,0.015170149322318202,0.015170149322318202,0.015170149322318202,12.21449005188005,80.53120984540944
TUR.10.4_1,2035,aegypti,0.022988501523995085,2.125111198125751e-11,2.125111198125751e-11,2.125111198125751e-11,1.8828188718298758e-4,1.8828188718298758e-4,1.8828188718298758e-4,1.7709255970022971e-12,1.7709255970022971e-12,1.7709255970022971e-12,5.6268393925732836e-9,5.6268393925732836e-9,5.6268393925732836e-9,11.759104741925565,83.11171585228607
