parameter,level,value,year,lambda_total,M_climate,ssp
k,k010,0.1,2025,27.116453655810616,1.1563175718624532,ssp585
k,k010,0.1,2050,30.03723491998016,1.2808676213628691,ssp585
k,k010,0.1,2075,36.05981741024499,1.5376870153539814,ssp585
k,k013,0.13,2025,28.216178972884773,1.203212843421189,ssp585
k,k013,0.13,2050,32.01319404786622,1.36512790777173,ssp585
k,k013,0.13,2075,39.84254908763369,1.6989931199601758,ssp585
k,k020,0.2,2025,30.782204254967144,1.3126351437249064,ssp585
k,k020,0.2,2050,36.62376386481855,1.5617352427257385,ssp585
k,k020,0.2,2075,48.668917573358506,2.075374030707963,ssp585
eta,eta_low,0.15,2025,16.929707383730864,1.203212843421189,ssp585
eta,eta_low,0.15,2050,19.20791642871973,1.36512790777173,ssp585
eta,eta_low,0.15,2075,23.90552945258021,1.6989931199601758,ssp585
eta,eta_base,0.25,2025,28.216178972884773,1.203212843421189,ssp585
eta,eta_base,0.25,2050,32.01319404786622,1.36512790777173,ssp585
eta,eta_base,0.25,2075,39.84254908763369,1.6989931199601758,ssp585
eta,eta_high,0.33,2025,37.245356244207905,1.203212843421189,ssp585
eta,eta_high,0.33,2050,42.25741614318341,1.36512790777173,ssp585
eta,eta_high,0.33,2075,52.592164795676474,1.6989931199601758,ssp585
