Senaryo,Ilce,maks p_ay,"p>0,01 ay","p>0,05 ay",P_ufuk (kesin),P_ufuk (Poisson),Bagil fark (%),Sp2/2
SSP1-2.6,Kartal (Istanbul),0.009964943216217288,0,0,0.29364212187568284,0.29298472758242466,0.2238760192369437,9.261509726939882e-4
SSP1-2.6,Hopa (Artvin),6.790965088879889e-5,0,0,1.4580846182987717e-4,1.4580554298959658e-4,0.002001831885443883,2.9191531864349646e-9
SSP1-2.6,Zonguldak,1.2774784342153028e-6,0,0,1.3243319227806971e-5,1.3243314887390056e-5,3.277438865672349e-5,4.340717608695184e-12
SSP1-2.6,Fethiye (Mugla),3.338417099581276e-6,0,0,1.933103997342478e-5,1.9331021911428437e-5,9.343520249222161e-5,1.8062208783725472e-11
SSP1-2.6,Egirdir (Isparta),2.994793509334202e-10,0,0,4.897545702320372e-10,4.897553473881544e-10,1.586827697941454e-4,4.614981460098738e-20
SSP2-4.5,Kartal (Istanbul),0.015641846960042425,10,0,0.36810570227430806,0.3669665073935272,0.3094749344393292,0.0017885719635197085
SSP2-4.5,Hopa (Artvin),1.5150077331105234e-4,0,0,0.001048584213400261,0.0010485387936288726,0.0043315330145115545,4.5464239523370345e-8
SSP2-4.5,Zonguldak,2.4167960633872764e-4,0,0,3.134863297399315e-4,3.1345680171601664e-4,0.00941923813372259,2.953257394312984e-8
SSP2-4.5,Fethiye (Mugla),1.0101439512363236e-5,0,0,8.969098676159248e-5,8.96906913425699e-5,3.293742584894912e-4,2.9544431224853026e-10
SSP2-4.5,Egirdir (Isparta),6.03464574946671e-9,0,0,7.324969186761621e-9,7.3249698528954355e-9,9.094015248268813e-6,1.8333264242254583e-17
SSP5-8.5,Kartal (Istanbul),0.018940161513366693,17,0,0.4939811548897416,0.49245374422067145,0.30920423865381325,0.0029911876371996856
SSP5-8.5,Hopa (Artvin),2.0726097593289132e-4,0,0,0.0023182563055897942,0.002318138624054167,0.005076295288991879,1.1794460737927728e-7
SSP5-8.5,Zonguldak,7.262402640664744e-6,0,0,3.685984241164064e-5,3.685977278489183e-5,1.8889594815239442e-4,6.962874474940971e-11
SSP5-8.5,Fethiye (Mugla),1.181629441346251e-5,0,0,2.109324406062152e-4,2.1093174441855211e-4,3.3005243815184207e-4,6.963315634233906e-10
SSP5-8.5,Egirdir (Isparta),4.159605508386545e-10,0,0,1.7422169262815146e-9,1.7422175924153294e-9,3.8234837736128e-5,2.379824292299585e-19
