Senaryo,Ilce,k_vpd,maks P_est,P_horizon
SSP1-2.6,Kartal,0.3,0.1663995217272598,0.33350650589474606
SSP1-2.6,Kartal,0.5,0.15535868806632677,0.3177503579554225
SSP1-2.6,Kartal,0.8,0.23736550127916956,0.32192625852876944
SSP1-2.6,Hopa,0.3,0.06757254296847778,3.496140703429518e-5
SSP1-2.6,Hopa,0.5,0.21202068147045813,1.7641885785946165e-4
SSP1-2.6,Hopa,0.8,0.41597993005663575,8.241695346354883e-4
SSP1-2.6,Zonguldak,0.3,0.12795879611341224,3.3786329046825436e-5
SSP1-2.6,Zonguldak,0.5,0.09272233897593803,3.215805370593294e-5
SSP1-2.6,Zonguldak,0.8,0.0977667120010828,4.663860633447037e-5
SSP1-2.6,Fethiye,0.3,0.015780753178780912,0.006200478164854695
SSP1-2.6,Fethiye,0.5,3.6198039510729326e-4,7.544127364356168e-5
SSP1-2.6,Fethiye,0.8,1.3429423341876135e-5,5.131989297968431e-7
SSP1-2.6,Egirdir,0.3,0.0020290523424888744,4.7435121852679174e-7
SSP1-2.6,Egirdir,0.5,6.205265465207054e-5,2.867122206318129e-9
SSP1-2.6,Egirdir,0.8,2.1270895907599118e-7,7.556510972506203e-12
SSP2-4.5,Kartal,0.3,0.21729719705836192,0.404676936321404
SSP2-4.5,Kartal,0.5,0.22372985682519556,0.38955736436847666
SSP2-4.5,Kartal,0.8,0.26419908735089165,0.39562095099883843
SSP2-4.5,Hopa,0.3,0.34398264225877884,6.070148070590475e-4
SSP2-4.5,Hopa,0.5,0.4114974121052252,0.0010736478337119992
SSP2-4.5,Hopa,0.8,0.5022597921232654,0.00225727107445417
SSP2-4.5,Zonguldak,0.3,0.21275146702424305,9.5720004010591e-5
SSP2-4.5,Zonguldak,0.5,0.21484114316823266,1.0592083122973328e-4
SSP2-4.5,Zonguldak,0.8,0.29440086484965994,1.4066315354543946e-4
SSP2-4.5,Fethiye,0.3,0.05706489953946245,0.00898622489713774
SSP2-4.5,Fethiye,0.5,0.018914749701657355,7.112188901494676e-4
SSP2-4.5,Fethiye,0.8,0.001454308395357822,4.285167007178625e-5
SSP2-4.5,Egirdir,0.3,0.018484709663904007,1.5186294600733063e-6
SSP2-4.5,Egirdir,0.5,9.45157366923854e-4,3.5132452391728464e-8
SSP2-4.5,Egirdir,0.8,2.4578915846955595e-6,1.0601386435382665e-10
SSP5-8.5,Kartal,0.3,0.20926235890635939,0.5779736424924292
SSP5-8.5,Kartal,0.5,0.22352477404741303,0.518835025974476
SSP5-8.5,Kartal,0.8,0.24309095260505917,0.46720638677595405
SSP5-8.5,Hopa,0.3,0.37459659030697173,0.0013028424114628345
SSP5-8.5,Hopa,0.5,0.45361148183747324,0.002381883600088508
SSP5-8.5,Hopa,0.8,0.5515933232530774,0.00481284204750454
SSP5-8.5,Zonguldak,0.3,0.23350269820217456,2.7474840736174677e-4
SSP5-8.5,Zonguldak,0.5,0.20364993932327036,2.4678244344822353e-4
SSP5-8.5,Zonguldak,0.8,0.2168106433010606,2.452994275432552e-4
SSP5-8.5,Fethiye,0.3,0.03418300087522879,0.0077433623492743076
SSP5-8.5,Fethiye,0.5,0.0011451796630633979,1.6411513787217835e-4
SSP5-8.5,Fethiye,0.8,1.339746881543043e-4,5.54893698523351e-6
SSP5-8.5,Egirdir,0.3,0.007426559087431902,1.797514612822404e-6
SSP5-8.5,Egirdir,0.5,9.161080287442187e-5,1.098656554621158e-8
SSP5-8.5,Egirdir,0.8,4.6041392686818614e-7,3.5412228704956306e-11
