district_id,year,species,Lambda_import_year,p_ge1_major_year_mean,p_ge1_major_year_p2_5,p_ge1_major_year_p97_5,mean_q_import_year_mean,mean_q_import_year_p2_5,mean_q_import_year_p97_5,mean_p_month_major_mean,mean_p_month_major_p2_5,mean_p_month_major_p97_5,mean_p_est_year_mean,mean_p_est_year_p2_5,mean_p_est_year_p97_5,mean_temp_c_year,mean_rh_year
TUR.10.4_1,2025,aegypti,0.021183781627398708,5.087789742477255e-7,4.598459033416935e-7,5.547551939738549e-7,1.7350221915647204e-4,1.7350221915647204e-4,1.7350221915647204e-4,4.239824785444621e-8,3.8320491946501663e-8,4.6229599499410724e-8,1.461887089236919e-4,1.3212864980081558e-4,1.593991687482407e-4,12.91337389579869,79.13168515668873
TUR.10.4_1,2026,aegypti,0.02007084553571357,2.0029422564959986e-14,1.7541523789077473e-14,2.2537527399890678e-14,1.6438775749355594e-4,1.6438775749355594e-4,1.6438775749355594e-4,1.669275756991563e-15,1.4663722491140538e-15,1.8740235331594216e-15,6.074859957664695e-12,5.336462290580121e-12,6.819966582212918e-12,12.262030165209937,80.68418937828704
TUR.10.4_1,2027,aegypti,0.019842298102028914,4.967565701534315e-5,4.8834793216473435e-5,5.0435985873045765e-5,1.6251604185721358e-4,1.6251604185721358e-4,1.6251604185721358e-4,4.139638084609498e-6,4.069566101372496e-6,4.20299882275051e-6,0.015238275711800971,0.014980336206362981,0.01547151068968141,11.779633470688827,81.663183112011
TUR.10.4_1,2028,aegypti,0.019667766642792017,1.0824674490095276e-16,1.0824674490095292e-16,1.1102230246251565e-16,1.608582905694341e-4,1.608582905694341e-4,1.608582905694341e-4,5.294112289446803e-18,4.659493287156226e-18,5.982617661653536e-18,2.3365679761392735e-14,2.056410597361946e-14,2.6405266861928567e-14,11.733363485152093,81.40257380313241
TUR.10.4_1,2029,aegypti,0.01965135110003318,4.859804380030753e-10,4.320985264039123e-10,5.373774453198977e-10,1.6095225623766196e-4,1.6095225623766196e-4,1.6095225623766196e-4,4.049836997810931e-11,3.600820693124247e-11,4.478145545474083e-11,1.5052546733290706e-7,1.3383630450003457e-7,1.6644495849626092e-7,11.876345901007024,80.02065521385833
TUR.10.4_1,2030,aegypti,0.019348540692943218,1.3039844050544146e-8,1.175078539750185e-8,1.4303248649372156e-8,1.584723448064355e-4,1.584723448064355e-4,1.584723448064355e-4,1.0866536706662733e-9,9.79232114175926e-10,1.1919373864608443e-9,4.102106122427451e-6,3.6965908819649083e-6,4.499551036857285e-6,12.00747815103786,82.49920898583099
TUR.10.4_1,2031,aegypti,0.0219354235007754,1.542129090625899e-8,1.3831825163013178e-8,1.6939901234525043e-8,1.796577849424256e-4,1.796577849424256e-4,1.796577849424256e-4,1.2851075744275695e-9,1.1526520983470518e-9,1.4116584376852084e-9,4.279224860045718e-6,3.838167024754202e-6,4.70062117761937e-6,12.978715154841113,81.0626028965569
TUR.10.4_1,2032,aegypti,0.02118423050814783,2.1021850926672416e-14,1.865174681370263e-14,2.375877272697835e-14,1.732598849417862e-4,1.732598849417862e-4,1.732598849417862e-4,1.751693405888952e-15,1.5537571597131088e-15,1.9753303688396345e-15,6.048267636726834e-12,5.364831033120392e-12,6.820443978113507e-12,12.44535743526078,82.29469734337493
TUR.10.4_1,2033,aegypti,0.020775240025282714,3.1576963266388703e-15,2.7755575615628914e-15,3.552713678800501e-15,1.701564524613138e-4,1.701564524613138e-4,1.701564524613138e-4,2.632334897151779e-16,2.3031316618231895e-16,2.983552735796848e-16,1.0988143173129572e-12,9.613793557535407e-13,1.2454398623518158e-12,12.118127518211372,81.16961659894947
TUR.10.4_1,2034,aegypti,0.021109516165477064,3.847911325460807e-9,3.485654856416609e-9,4.24875276627823e-9,1.7289402033523102e-4,1.7289402033523102e-4,1.7289402033523102e-4,3.2065927716032686e-10,2.904712404974471e-10,3.5406272759667913e-10,1.116183523680055e-6,1.0111778353527612e-6,1.231515801016862e-6,12.98344913454311,81.85869651940033
TUR.10.4_1,2035,aegypti,0.018704928036043872,2.599287451943155e-14,2.3314683517128287e-14,2.8754776337791554e-14,1.532013587074906e-4,1.532013587074906e-4,1.532013587074906e-4,2.1661531605075647e-15,1.9414757136888257e-15,2.4009893251709676e-15,8.610229945693604e-12,7.72554890430636e-12,9.525842152117528e-12,11.863992176517415,81.79545201765065
TUR.10.4_1,2036,aegypti,0.020729005485585515,2.692125886865959e-6,2.476297192316457e-6,2.9279521219033323e-6,1.695370872935309e-4,1.695370872935309e-4,1.695370872935309e-4,2.2434382390570889e-7,2.0635809936142995e-7,2.439960101587161e-7,7.916257251744504e-4,7.281608078588129e-4,8.609709646428723e-4,12.408152163837917,80.90285036868417
TUR.10.4_1,2037,aegypti,0.02050570029518187,1.5689112758399127e-8,1.4157903777123338e-8,1.731027096385507e-8,1.679490397870446e-4,1.679490397870446e-4,1.679490397870446e-4,1.3074260632256102e-9,1.1798253135717907e-9,1.4425225775173899e-9,4.657039574685569e-6,4.202526881683794e-6,5.138252112170624e-6,11.716290482197769,80.39480517215097
TUR.10.4_1,2038,aegypti,0.02127599475331237,1.8378588761969184e-11,1.639028079924998e-11,2.0565410485673397e-11,1.742574002243554e-4,1.742574002243554e-4,1.742574002243554e-4,1.5315489736708915e-12,1.365860124213925e-12,1.713784654121134e-12,5.2578803761786176e-9,4.689062686746848e-9,5.883504121858192e-9,12.004057817970283,81.50024022565846
TUR.10.4_1,2039,aegypti,0.020528599744058813,1.396782497121718e-7,1.2646043348052416e-7,1.5261588891812838e-7,1.681365764887588e-4,1.681365764887588e-4,1.681365764887588e-4,1.1639854143313245e-8,1.0538369454962888e-8,1.2717990746112737e-8,4.141481016803717e-5,3.7495707857229896e-5,4.5250839570964056e-5,11.8200838350401,82.02459516035084
TUR.10.4_1,2040,aegypti,0.021518238882492498,5.691092486159732e-12,5.0370208004579805e-12,6.385275641562771e-12,1.7599137145505686e-4,1.7599137145505686e-4,1.7599137145505686e-4,4.742578509608891e-13,4.1974731699788664e-13,5.321069312104629e-13,1.6121090298619005e-9,1.4268154734098371e-9,1.8087510507876675e-9,12.125906758819587,81.42982790774667
TUR.10.4_1,2041,aegypti,0.02097823718352053,3.011242255546165e-12,2.633560036713334e-12,3.4076352850576086e-12,1.7181890686081744e-4,1.7181890686081744e-4,1.7181890686081744e-4,2.509390197325819e-13,2.194666693428455e-13,2.839748954769156e-13,8.737199634530531e-10,7.641404680310457e-10,9.887436212367244e-10,11.515996623351741,80.29092142886483
TUR.10.4_1,2042,aegypti,0.022291357194918933,6.500961937434646e-5,6.409337512062185e-5,6.581840450918252e-5,1.8257268631222123e-4,1.8257268631222123e-4,1.8257268631222123e-4,5.417468281195618e-6,5.341114593383584e-6,5.484867042431956e-6,0.017751398435854986,0.01750121059027881,0.017972243709231506,13.003773424341846,78.9231944670932
TUR.10.4_1,2043,aegypti,0.02188796154412829,2.2062450755200302e-12,1.9652585114826595e-12,2.4872603976433534e-12,1.792690968648499e-4,1.792690968648499e-4,1.792690968648499e-4,1.8385398779517274e-13,1.637722935889547e-13,2.0727230442766396e-13,7.285167400912969e-10,6.489435394145074e-10,8.213112229667658e-10,12.86872793566641,82.92946741885507
TUR.10.4_1,2044,aegypti,0.022356080120613013,2.5582566176574063e-11,2.2790414000439798e-11,2.858421555007595e-11,1.8284311440376158e-4,1.8284311440376158e-4,1.8284311440376158e-4,2.131882275916519e-12,1.8992069423836656e-12,2.3820226396109466e-12,8.28240896246409e-9,7.378460163918558e-9,9.254209896771465e-9,13.080615573440559,81.53566541181569
TUR.10.4_1,2045,aegypti,0.021271971357391527,1.3014811450773323e-14,1.1546319456101628e-14,1.4768741785076142e-14,1.7422445056403113e-4,1.7422445056403113e-4,1.7422445056403113e-4,1.0875583531748924e-15,9.64236376988382e-16,1.237683041357848e-15,3.736303905155225e-12,3.3128657224897514e-12,4.251639780979607e-12,12.334752687130935,81.13409477379486
TUR.10.4_1,2046,aegypti,0.022068894162024486,1.0041891997936148e-8,8.997401515498104e-9,1.108955541007095e-8,1.8075083745270706e-4,1.8075083745270706e-4,1.8075083745270706e-4,8.368243332325687e-10,7.497834694196722e-10,9.241296154663941e-10,2.7703998431598264e-6,2.482343661865579e-6,3.059299779131543e-6,13.62116397749838,79.78309843844735
TUR.10.4_1,2047,aegypti,0.022111196682074306,2.230560403049253e-12,1.982133901456962e-12,2.4864915681988006e-12,1.8109727192234618e-4,1.8109727192234618e-4,1.8109727192234618e-4,1.858783890936265e-13,1.6517412672685711e-13,2.072034752891768e-13,6.140336294794639e-10,5.456387193921349e-10,6.84478965867763e-10,12.781646165564228,82.47695149885182
TUR.10.4_1,2048,aegypti,0.022460839899953962,5.605417993900241e-7,5.117134032284198e-7,6.152062139025416e-7,1.8369982076833305e-4,1.8369982076833305e-4,1.8369982076833305e-4,4.671181661591196e-8,4.264278360184339e-8,5.126718449710768e-8,1.806301213896142e-4,1.6489556056661312e-4,1.982452930376029e-4,12.471287278646795,81.7189806889153
TUR.10.4_1,2049,aegypti,0.02475229866511451,3.3402087861699846e-5,3.2505346393568724e-5,3.433419130084437e-5,2.0272617929648998e-4,2.0272617929648998e-4,2.0272617929648998e-4,2.7835073218082735e-6,2.7087788661244956e-6,2.8611826084036635e-6,0.00821404075447906,0.007993519480687512,0.008443258031661252,13.31944202712632,80.82809565371835
TUR.10.4_1,2050,aegypti,0.02209081662051619,6.997081256972959e-6,6.527032295711166e-6,7.464176428970126e-6,1.809303703976898e-4,1.809303703976898e-4,1.809303703976898e-4,5.830901047754807e-7,5.43919358002346e-7,6.220147024388976e-7,0.0019279535765671437,0.001798437816655107,0.0020566552867088855,12.701919101987846,79.87268183535897
TUR.10.4_1,2051,aegypti,0.022419129886549916,1.952712358477271e-11,1.7564591447971625e-11,2.1685564455253826e-11,1.8361907207974557e-4,1.8361907207974557e-4,1.8361907207974557e-4,1.6272602540642346e-12,1.4637193071135224e-12,1.8071269579820468e-12,6.1775571301529256e-09,5.549831658356134e-9,6.872589657092033e-9,13.088154339109428,82.325204113191
TUR.10.4_1,2052,aegypti,0.022285655205975544,2.739335880352911e-10,2.4316251512335186e-10,3.083874433595923e-10,1.8226719182822446e-4,1.8226719182822446e-4,1.8226719182822446e-4,2.2827799014620856e-11,2.0263545332309834e-11,2.5698959367607778e-11,8.882815570173305e-8,7.88416717328877e-8,1.0000592174722044e-7,12.647042834077842,82.56150044904713
TUR.10.4_1,2053,aegypti,0.022287446439684014,4.022322749560603e-7,3.641134236898047e-7,4.393557267945436e-7,1.825406594285206e-4,1.825406594285206e-4,1.825406594285206e-4,3.351935624695534e-8,3.0342785312745135e-8,3.661297723658648e-8,1.098520323590724e-4,9.944154694625322e-5,1.1999066780664578e-4,12.549661560172407,81.26835240827565
TUR.10.4_1,2054,aegypti,0.021252028193401058,2.8840251253758886e-7,2.6128707096007007e-7,3.168618402993317e-7,1.7406112570970503e-4,1.7406112570970503e-4,1.7406112570970503e-4,2.4033542711443994e-8,2.17739225819546e-8,2.640515336370066e-8,8.260132715506103e-5,7.48351969721004e-5,9.075235963280082e-5,12.846300356899269,82.6250062575595
TUR.10.4_1,2055,aegypti,0.022888989843386658,1.278243066948903e-13,1.1324274851176597e-13,1.4389600622166653e-13,1.8746694748867734e-4,1.8746694748867734e-4,1.8746694748867734e-4,1.0652790098436219e-14,9.43644602605421e-15,1.199269478762462e-14,3.399511800764958e-11,3.011357066484699e-11,3.827098221664826e-11,12.925199770246513,81.99101628767018
TUR.10.4_1,2056,aegypti,0.022557386973446898,7.947979159635965e-7,7.200751730829235e-7,8.623263946738736e-7,0.00018448936438076693,0.00018448936438076693,0.00018448936438076693,6.623315966356805e-8,6.000626442307023e-8,7.186053288887069e-8,2.1477135794861662e-4,1.9457967838977958e-4,2.3301899390501234e-4,12.52403895389494,81.95241918073658
TUR.10.4_1,2057,aegypti,0.0230502271712278,1.0355667151294544e-5,9.850320100002196e-6,1.0939087151071168e-5,1.8878738203412238e-4,1.8878738203412238e-4,1.8878738203412238e-4,8.629738702330153e-7,8.208614761724443e-7,9.115923818903864e-7,0.002855172424570623,0.0027173609906413626,0.003016010444426624,12.988449189379383,82.89372179812753
TUR.10.4_1,2058,aegypti,0.023667003974965895,1.6825372124551486e-8,1.5218401996919262e-8,1.8382936919913994e-8,1.9383838633637204e-4,1.9383838633637204e-4,1.9383838633637204e-4,1.4021143438585086e-9,1.2682001609179107e-9,1.5319114133912678e-9,4.404395941513567e-6,3.989410018249058e-6,4.804926371503963e-6,13.645933661177326,80.39449872480397
TUR.10.4_1,2059,aegypti,0.022380901899453742,3.76480942942381e-5,3.6767969244988484e-5,3.851222976157254e-5,1.8330600671058925e-4,1.8330600671058925e-4,1.8330600671058925e-4,3.1373411924025536e-6,3.063997438287269e-6,3.209352481348059e-6,0.01023901023546673,0.009999646792604433,0.010474024992547229,12.601645328913696,82.9853635421054
TUR.10.4_1,2060,aegypti,0.02573747075963218,1.029439464828954e-4,1.0168704834520314e-4,1.0420069768434792e-4,2.1049508726191565e-4,2.1049508726191565e-4,2.1049508726191565e-4,8.578662238770442e-6,8.473920723572684e-6,8.683391507000426e-6,0.02438123815633492,0.024083538993395246,0.024678890397599764,14.217817448888786,78.62787745303476
TUR.10.4_1,2061,aegypti,0.023239024419120555,1.9536566047221317e-5,1.8630909111769232e-5,2.042884299900127e-5,1.9033351284409675e-4,1.9033351284409675e-4,1.9033351284409675e-4,1.6280471722459199e-6,1.5525757609049752e-6,1.702403584976434e-6,0.0051171579327637,0.004879944858351159,0.005350867613067015,13.494274689072935,81.76453326052987
TUR.10.4_1,2062,aegypti,0.024268243807932112,4.955523456151856e-5,4.861466031571282e-5,5.0535762899678316e-5,1.9876212483295e-4,1.9876212483295e-4,1.9876212483295e-4,4.129602883674328e-6,4.051221696218447e-6,4.211313578902738e-6,0.014758645807328873,0.014478524009538517,0.01505066626489178,13.501056436016727,79.08673912193939
TUR.10.4_1,2063,aegypti,0.022213169388547734,5.222376400098483e-6,4.87837599576768e-6,5.548856391210389e-6,1.8193237197350332e-4,1.8193237197350332e-4,1.8193237197350332e-4,4.351980333747609e-7,4.065313330080443e-7,4.62404699301665e-7,0.0014310343269749778,0.001336771639019762,0.00152049616193063,13.07500312061565,80.9843501041985
TUR.10.4_1,2064,aegypti,0.025025850776080737,9.93108175695312e-11,8.85781781256867e-11,1.1125679266754673e-10,2.0467575038356686e-4,2.0467575038356686e-4,2.0467575038356686e-4,8.275900605204011e-12,7.381512029753357e-12,9.271394194579278e-12,2.4189309226282005e-8,2.157513604531906e-8,2.7098998529641777e-8,14.000007384334571,79.20497566368743
TUR.10.4_1,2065,aegypti,0.023876637338473953,9.964773427096741e-5,9.888080111405683e-5,1.0035879405627668e-4,1.9555514177229302e-4,1.9555514177229302e-4,1.9555514177229302e-4,8.30397785591771e-6,8.24006675950921e-6,8.363232838022769e-6,0.025403317589138604,0.025207802390515406,0.025584588921315286,13.748484088296262,80.23229080345794
TUR.10.4_1,2066,aegypti,0.02209932686508874,1.1109926953825278e-4,1.1035346075268238e-4,1.1189296813629014e-4,1.8100006463629229e-4,1.8100006463629229e-4,1.8100006463629229e-4,9.258272477959893e-6,9.196121745294128e-6,9.324414028370283e-6,0.030600205830664425,0.030394784995109912,0.030818817041717687,12.830351986800201,82.32378631737396
TUR.10.4_1,2067,aegypti,0.02315622578191844,1.2077176481106733e-11,1.0736628253127378e-11,1.3491410766341971e-11,1.896554443764816e-4,1.896554443764816e-4,1.896554443764816e-4,1.006431303736904e-12,8.947219753506834e-13,1.124289350290403e-12,3.7674695011202795e-9,3.3490362749225936e-9,4.208716103866935e-9,12.77334870230612,83.21141169375741
TUR.10.4_1,2068,aegypti,0.024098668813131004,4.77477025699331e-5,4.677015012802544e-5,4.8747937426851794e-5,1.970935778907723e-4,1.970935778907723e-4,1.970935778907723e-4,3.978975214161175e-6,3.897512510671467e-6,4.062328118901744e-6,0.012077371693393872,0.011830108190547108,0.012330372518504096,13.409683499052692,81.50201692090992
TUR.10.4_1,2069,aegypti,0.02248008446388604,1.3009596733226659e-12,1.188601994606131e-12,1.4218903832130536e-12,1.8411825500455614e-4,1.8411825500455614e-4,1.8411825500455614e-4,1.0841313875700735e-13,9.905032328290872e-14,1.1848978894481194e-13,3.9723076868577084e-10,3.624410965796798e-10,4.342606165867273e-10,12.532065365030933,80.27446482486093
